trace_id,source_file,engine_id,engine_hash,hash_gate_pass,output_value,output_units,output_correct,output_correct_evidence,reasoning_claim,inference_blind_judge,inference_correct,inference_correct_evidence,physical_evidence_level,physical_evidence_detail,risk_level,decision,notes,benchmark_family,reference_truth,verification_independence,coverage_case
trace_015,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_015.json,physics_magnitude_gold_engines.quimb_mps_estimated_bound,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,"{""bond_used"": 8, ""fidelity_lower_bound"": 0.9999999999999709, ""trace_distance_upper_bound"": 1.70551585290724e-07}",dimensionless,unknown,"Truncated MPS fidelity/trace-distance estimate for 1D random circuit: expected no dense reference at this scale, abs_error=n/a","Derived from quimb CircuitMPS fidelity_estimate(), which quimb documents as an estimate based on the norm of the truncated state and an approximation to the ideal overlap. Trace distance uses D<=sqrt(1-F_est). This is not a formal truncation certificate.",hold,unknown,,estimated_bound,"Derived from quimb CircuitMPS fidelity_estimate(), which quimb documents as an estimate based on the norm of the truncated state and an approximation to the ideal overlap. Trace distance uses D<=sqrt(1-F_est). This is not a formal truncation certificate.",low,hold,"Estimated-bound trace; useful evidence metadata, but not a formal certificate.",TensorNetwork,quimb_circuitmps_truncation_error_tracker,algorithmic_error_certificate_same_runtime,estimated_bound_candidate
trace_016,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_016.json,physics_magnitude_gold_engines.schmidt_truncation_formal_bound,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,"{""actual_error_squared"": 0.11318392617103658, ""discarded_weight"": 0.1131839261710366, ""full_rank"": 4, ""kept_rank"": 2}",squared_state_norm,yes,"Single-cut Schmidt truncation squared state error: expected 0.1131839261710366, abs_error=2.776e-17","For a normalized state in Schmidt form, the sum of discarded Schmidt values squared is exactly the squared 2-norm error of the optimal rank-k truncation across that cut. This certifies a single-cut state truncation error, not a global DMRG observable error.",hold,unknown,,formal_bound,"For a normalized state in Schmidt form, the sum of discarded Schmidt values squared is exactly the squared 2-norm error of the optimal rank-k truncation across that cut. This certifies a single-cut state truncation error, not a global DMRG observable error.",low,hold,Formal truncation certificate; scope is explicit and does not imply an observable certificate.,TensorNetwork,schmidt_eckart_young_theorem,algorithmic_certificate_exact_svd_same_runtime,formal_bound_success
trace_017,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_017.json,physics_magnitude_gold_engines.multi_step_schmidt_composition_bound,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,"{""actual_error_squared"": 0.5946588973100263, ""bound_slack"": 0.8776823124226517, ""composed_state_error_bound"": 1.472341209732678, ""cuts"": [3, 2, 4], ""kept_ranks"": [2, 2, 2], ""local_discarded_weights"": [0.4109263397557147, 0.09589250617327205, 0.06901137545921283], ""local_error_squared"": [0.4109263397557149, 0.0958925061732719, 0.06901137545921289]}",squared_state_norm,yes,"Multi-step Schmidt truncation squared state-error bound: expected actual_error_squared <= 1.472341209732678, abs_error=0.000e+00","Sequential non-renormalized Schmidt/SVD truncations compose into a formal state-norm bound by triangle inequality: final ||psi0-psim||^2 <= (sum_i sqrt(discarded_weight_i))^2. This certifies the full-state error for this controlled sequence, not an observable error and not yet a general DMRG sweep certificate.",hold,unknown,,formal_bound,"Sequential non-renormalized Schmidt/SVD truncations compose into a formal state-norm bound by triangle inequality: final ||psi0-psim||^2 <= (sum_i sqrt(discarded_weight_i))^2. This certifies the full-state error for this controlled sequence, not an observable error and not yet a general DMRG sweep certificate.",low,hold,Formal truncation certificate; scope is explicit and does not imply an observable certificate.,TensorNetwork,schmidt_eckart_young_plus_triangle_inequality,algorithmic_certificate_exact_svd_same_runtime,formal_bound_composition_success
trace_018,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_018.json,physics_magnitude_gold_engines.bell_entropy_scipy_cross_library,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,0.6931471805599454,nats,yes,"Bell pair entanglement entropy SciPy cross-library witness: expected 0.6931471805599454, abs_error=0.000e+00","quantum_engine entropy checked against explicit reduced density matrix diagonalized with scipy.linalg.eigh. Same Python runtime, different library witness.",hold,unknown,,cross_sim,"quantum_engine entropy checked against explicit reduced density matrix diagonalized with scipy.linalg.eigh. Same Python runtime, different library witness.",low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,Entanglement,scipy_linalg_reduced_density_eigenspectrum,different_library_same_runtime,cross_library_success
trace_019,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_019.json,physics_magnitude_gold_engines.assignment_to_ising_function_level,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,"{""brute_force_energy"": 13.4, ""degeneracy_count"": 1, ""optimal_assignments"": [{""assignees"": [""Ada"", ""Ben"", ""Ben"", ""Ada"", ""Ada"", ""Ben"", ""Ada"", ""Ben""], ""bits"": 166, ""energy"": 13.4, ""spins"": [-1, 1, 1, -1, -1, 1, -1, 1]}], ""solver_assignment"": {""assignees"": [""Ada"", ""Ben"", ""Ben"", ""Ada"", ""Ada"", ""Ben"", ""Ada"", ""Ben""], ""bits"": 166, ""energy"": 13.4, ""spins"": [-1, 1, 1, -1, -1, 1, -1, 1]}, ""solver_energy"": 13.4}",objective_energy,yes,"N=8 K=2 assignment Ising ground-state energy: expected 13.4, abs_error=0.000e+00",A small real assignment objective is mapped explicitly to an Ising Hamiltonian. Exact diagonalization of the diagonal Hamiltonian is checked against exhaustive enumeration of all 2^8 assignments. This certifies optimality only for this small function-level instance; it does not claim optimization speedup.,hold,unknown,,analytic,A small real assignment objective is mapped explicitly to an Ising Hamiltonian. Exact diagonalization of the diagonal Hamiltonian is checked against exhaustive enumeration of all 2^8 assignments. This certifies optimality only for this small function-level instance; it does not claim optimization speedup.,low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,CombinatorialOptimization,exact_brute_force_enumeration_2^8_assignments,different_method_same_runtime,combinatorial_optimization_function_level
trace_020,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_020.json,physics_magnitude_gold_engines.assignment_to_ising_degenerate_function_level,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,"{""brute_force_energy"": 10.999999999999998, ""degeneracy_count"": 2, ""optimal_assignments"": [{""assignees"": [""Ada"", ""Ben"", ""Ben"", ""Ada"", ""Ben"", ""Ben"", ""Ada"", ""Ada""], ""bits"": 54, ""energy"": 10.999999999999998, ""spins"": [-1, 1, 1, -1, 1, 1, -1, -1]}, {""assignees"": [""Ada"", ""Ben"", ""Ben"", ""Ada"", ""Ben"", ""Ada"", ""Ada"", ""Ben""], ""bits"": 150, ""energy"": 10.999999999999998, ""spins"": [-1, 1, 1, -1, 1, -1, -1, 1]}], ""solver_assignment"": {""assignees"": [""Ada"", ""Ben"", ""Ben"", ""Ada"", ""Ben"", ""Ben"", ""Ada"", ""Ada""], ""bits"": 54, ""energy"": 10.999999999999998, ""spins"": [-1, 1, 1, -1, 1, 1, -1, -1]}, ""solver_energy"": 10.999999999999998}",objective_energy,yes,"Degenerate N=8 K=2 assignment Ising ground-state energy: expected 10.999999999999998, abs_error=0.000e+00",A deliberately symmetric assignment objective is mapped to Ising and solved by exact diagonalization. Exhaustive enumeration confirms multiple equally optimal assignments. The trace certifies the optimal set for this small instance and records that final choice among optima requires an external/business criterion.,hold,unknown,,analytic,A deliberately symmetric assignment objective is mapped to Ising and solved by exact diagonalization. Exhaustive enumeration confirms multiple equally optimal assignments. The trace certifies the optimal set for this small instance and records that final choice among optima requires an external/business criterion.,low,hold,Generated by traced quantum_engine invariant; needs blind inference review before accept.,CombinatorialOptimization,exact_brute_force_enumeration_2^8_assignments_degenerate,different_method_same_runtime,combinatorial_optimization_degenerate_function_level
trace_021,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_021.json,physics_magnitude_gold_engines.h2_sto3g_experimental_reference,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,"{""experimental_binding_energy_hartree"": 0.1640261683512219, ""experimental_d0_cm_inverse"": 35999.582834, ""fci_total_energy_hartree"": -1.137270174660904, ""model_atom_energy_hartree"": -0.4665818495572752, ""model_binding_energy_hartree"": 0.20410647554635353, ""model_error_hartree"": 0.040080307195131615, ""solver_error_hartree"": 0.0, ""within_chemical_accuracy"": false}",hartree,yes,"H2 STO-3G binding energy vs experimental dissociation energy: expected {'reference_fci_total_energy_hartree': -1.137270174660904, 'reference_experimental_binding_energy_hartree': 0.1640261683512219, 'chemical_accuracy_threshold_hartree': 0.0015936}, abs_error=0.000e+00",H2/STO-3G at R=0.7414 Angstrom is solved by PySCF FCI. The solver error against the model FCI reference is zero by construction of the exact model solve. The model binding energy is then compared against the measured H2 dissociation energy D0(N=1)=35999.582834 cm^-1. The trace intentionally records that the minimal-basis model is not within chemical accuracy of the experimental binding reference.,hold,unknown,,experimental,H2/STO-3G at R=0.7414 Angstrom is solved by PySCF FCI. The solver error against the model FCI reference is zero by construction of the exact model solve. The model binding energy is then compared against the measured H2 dissociation energy D0(N=1)=35999.582834 cm^-1. The trace intentionally records that the minimal-basis model is not within chemical accuracy of the experimental binding reference.,low,hold,Experimental-reference trace; records solver/model error separation and needs blind inference review.,QuantumChemistry,"{'fci': {'kind': 'exact_model_solution', 'method': 'PySCF FCI', 'basis': 'sto-3g', 'geometry': 'H-H 0.7414 Angstrom', 'total_energy_hartree': -1.137270174660904}, 'experimental': {'kind': 'measured_dissociation_energy', 'quantity': 'D0(N=1) ortho-H2', 'value_cm_inverse': 35999.582834, 'value_hartree': 0.1640261683512219, 'source': 'Hölsch et al. 2019, arXiv:1902.09471'}, 'chemical_accuracy': {'threshold_hartree': 0.0015936, 'threshold_name': '1 kcal/mol'}}",same_runtime_exact_fci_with_external_experimental_reference,quantum_chemistry_experimental_reference
trace_022,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_022.json,physics_magnitude_gold_engines.h2_ccpvdz_experimental_reference,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,"{""experimental_binding_energy_hartree"": 0.1640261683512219, ""experimental_d0_cm_inverse"": 35999.582834, ""fci_total_energy_hartree"": -1.1634139335373233, ""model_atom_energy_hartree"": -0.49927840341958307, ""model_binding_energy_hartree"": 0.1648571266981571, ""model_error_hartree"": 0.0008309583469351955, ""solver_error_hartree"": 0.0, ""within_chemical_accuracy"": true}",hartree,yes,"H2 cc-pVDZ binding energy vs experimental dissociation energy: expected {'reference_fci_total_energy_hartree': -1.1634139335373233, 'reference_experimental_binding_energy_hartree': 0.1640261683512219, 'chemical_accuracy_threshold_hartree': 0.0015936}, abs_error=0.000e+00","H2/cc-pVDZ at R=0.7414 Angstrom is solved by PySCF FCI. The solver error against the model FCI reference is zero by construction. Compared with the same measured H2 D0 reference used by trace_021, the larger basis reduces model error and is within the 1 kcal/mol chemical-accuracy threshold for this binding-energy comparison.",hold,unknown,,experimental,"H2/cc-pVDZ at R=0.7414 Angstrom is solved by PySCF FCI. The solver error against the model FCI reference is zero by construction. Compared with the same measured H2 D0 reference used by trace_021, the larger basis reduces model error and is within the 1 kcal/mol chemical-accuracy threshold for this binding-energy comparison.",low,hold,Experimental-reference trace; records solver/model error separation and needs blind inference review.,QuantumChemistry,"{'fci': {'kind': 'exact_model_solution', 'method': 'PySCF FCI', 'basis': 'cc-pvdz', 'geometry': 'H-H 0.7414 Angstrom', 'total_energy_hartree': -1.1634139335373233}, 'experimental': {'kind': 'measured_dissociation_energy', 'quantity': 'D0(N=1) ortho-H2', 'value_cm_inverse': 35999.582834, 'value_hartree': 0.1640261683512219, 'source': 'Hölsch et al. 2019, arXiv:1902.09471'}, 'chemical_accuracy': {'threshold_hartree': 0.0015936, 'threshold_name': '1 kcal/mol'}}",same_runtime_exact_fci_with_external_experimental_reference,quantum_chemistry_experimental_reference_improved_basis
trace_023,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_023.json,physics_magnitude_gold_engines.h2_ccpvtz_experimental_reference,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,"{""basis_orbitals"": 28, ""experimental_binding_energy_hartree"": 0.1640261683512219, ""experimental_d0_cm_inverse"": 35999.582834, ""fci_total_energy_hartree"": -1.172335694195176, ""model_atom_energy_hartree"": -0.49980981130184277, ""model_binding_energy_hartree"": 0.17271607159149038, ""model_error_hartree"": 0.00868990324026847, ""solver_error_hartree"": 0.0, ""within_chemical_accuracy"": false}",hartree,yes,"H2 cc-pVTZ binding energy vs experimental dissociation energy: expected {'reference_fci_total_energy_hartree': -1.172335694195176, 'reference_experimental_binding_energy_hartree': 0.1640261683512219, 'chemical_accuracy_threshold_hartree': 0.0015936}, abs_error=0.000e+00","H2/cc-pVTZ at R=0.7414 Angstrom is solved by PySCF FCI. The basis is larger than cc-pVDZ, but this vertical electronic comparison against measured D0 is not within the 1 kcal/mol threshold. The trace records this honestly as model/reference mismatch, not solver error.",hold,unknown,,experimental,"H2/cc-pVTZ at R=0.7414 Angstrom is solved by PySCF FCI. The basis is larger than cc-pVDZ, but this vertical electronic comparison against measured D0 is not within the 1 kcal/mol threshold. The trace records this honestly as model/reference mismatch, not solver error.",low,hold,Experimental-reference trace; records solver/model error separation and needs blind inference review.,QuantumChemistry,"{'fci': {'kind': 'exact_model_solution', 'method': 'PySCF FCI', 'basis': 'cc-pvtz', 'geometry': 'H-H 0.7414 Angstrom', 'total_energy_hartree': -1.172335694195176}, 'experimental': {'kind': 'measured_dissociation_energy', 'quantity': 'D0(N=1) ortho-H2', 'value_cm_inverse': 35999.582834, 'value_hartree': 0.1640261683512219, 'source': 'Hölsch et al. 2019, arXiv:1902.09471'}, 'chemical_accuracy': {'threshold_hartree': 0.0015936, 'threshold_name': '1 kcal/mol'}}",same_runtime_exact_fci_with_external_experimental_reference,quantum_chemistry_experimental_reference_larger_basis
trace_024,/Users/kreniq/Desktop/KRENIQ/AI Projects/01. Investigacion/CAPAS INTELIGENTES/benchmarks/gold_traces/trace_024.json,physics_magnitude_gold_engines.h2_ccpvtz_reference_definition_corrected,2a65ad070df8ebb884eafd409faf046ea18d3aa72da19919f872cc0f355119c0,yes,"{""basis_orbitals"": 28, ""experimental_d0_hartree"": 0.1640261683512219, ""experimental_de_corrected_hartree"": 0.17424874254046713, ""fci_total_energy_hartree"": -1.1723356941951812, ""harmonic_frequencies_cm_inverse"": [4487.191403684356], ""model_atom_energy_hartree"": -0.49980981130184277, ""model_binding_energy_hartree"": 0.1727160715914957, ""reference_definition_corrected_error_hartree"": 0.0015326709489714152, ""solver_error_hartree"": 0.0, ""uncorrected_reference_error_hartree"": 0.0086899032402738, ""within_chemical_accuracy"": true, ""zpe_cm_inverse"": 2243.595701842178, ""zpe_hartree"": 0.010222574189245201}",hartree,yes,"H2 cc-pVTZ electronic binding energy vs ZPE-corrected experimental D_e reference: expected {'reference_fci_total_energy_hartree': -1.1723356941951812, 'reference_experimental_de_corrected_hartree': 0.17424874254046713, 'chemical_accuracy_threshold_hartree': 0.0015936}, abs_error=0.000e+00",H2/cc-pVTZ electronic binding energy is compared to a D_e-like reference rather than raw D0. The D_e reference is formed by adding the same-model harmonic ZPE to measured D0. This records reference-definition correction: electronic D_e-like quantity versus D0-with-vibration was the mismatch in trace_023.,hold,unknown,,experimental,H2/cc-pVTZ electronic binding energy is compared to a D_e-like reference rather than raw D0. The D_e reference is formed by adding the same-model harmonic ZPE to measured D0. This records reference-definition correction: electronic D_e-like quantity versus D0-with-vibration was the mismatch in trace_023.,low,hold,Experimental-reference trace; records solver/model error separation and needs blind inference review.,QuantumChemistry,"{'fci': {'kind': 'exact_model_solution', 'method': 'PySCF FCI', 'basis': 'cc-pvtz', 'geometry': 'H-H 0.7414 Angstrom', 'total_energy_hartree': -1.1723356941951812}, 'experimental': {'kind': 'measured_dissociation_energy_with_reference_definition_correction', 'raw_quantity': 'D0(N=1) ortho-H2', 'raw_value_cm_inverse': 35999.582834, 'raw_value_hartree': 0.1640261683512219, 'zpe_quantity': 'same-model harmonic zero-point vibrational energy', 'zpe_value_cm_inverse': 2243.595701842178, 'zpe_value_hartree': 0.010222574189245201, 'harmonic_frequencies_cm_inverse': [4487.191403684356], 'corrected_quantity': 'model-harmonic D_e = D0 + ZPE_harmonic(model)', 'corrected_value_hartree': 0.17424874254046713, 'source': 'D0: Hölsch et al. 2019, arXiv:1902.09471; ZPE: PySCF harmonic analysis from the declared cc-pVTZ electronic model'}, 'chemical_accuracy': {'threshold_hartree': 0.0015936, 'threshold_name': '1 kcal/mol'}}",same_runtime_exact_fci_with_external_experimental_reference,quantum_chemistry_reference_definition_corrected
